index,bolum,konu,correct_answer,predicted_answer,is_correct,format_uygun,düşünce_length
46,TUS,,E,B,False,False,0
47,İktisat,Uluslar Arası Ekonomik Kuruluşlar,A,,False,False,0
48,YGS Denemeleri,KİMYA KONU SORULARI,C,,False,False,0
49,YGS Denemeleri,TARİH KONU SORULARI,B,,False,False,0
50,YGS Denemeleri,TÜRKÇE KONU SORULARI,A,,False,False,0
51,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
52,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
53,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,E,,False,False,0
54,Felsefe,Estetik ve Sanat Felsefesi,B,,False,False,0
55,YGS Denemeleri,DİL VE ANLATIM,D,C,False,False,0
56,Sosyoloji,Çevre Sosyolojisi,A,E,False,False,0
57,Dış Ticaret,Uluslararası Lojistik,A,,False,False,0
58,YGS Denemeleri,COĞRAFYA DENEMELER,C,,False,False,0
59,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
60,İşletme Yönetimi,İşletme Yönetimi,B,,False,False,0
61,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
62,TUS,,E,,False,False,0
63,YGS Denemeleri,KİMYA KONU SORULARI,C,,False,False,0
64,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,E,E,True,False,0
65,YGS Denemeleri,KİMYA KONU SORULARI,E,E,True,False,0
66,YGS Denemeleri,TARİH KONU SORULARI,D,,False,False,0
67,KPSS Denemeleri,GENEL YETENEK DENEMELER,B,D,False,False,0
68,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,E,,False,False,0
69,KPSS Denemeleri,TARİH DENEMELER,B,,False,False,0
70,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
71,YGS Denemeleri,TARİH KONU SORULARI,D,E,False,False,0
72,İşletme Yönetimi,Proje Analizi ve Değerlendirme,B,,False,False,0
73,TUS,,A,,False,False,0
74,KPSS Denemeleri,GENEL YETENEK DENEMELER,D,,False,False,0
75,Dış Ticaret,Uluslararası Ticaret,A,,False,False,0
76,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
77,Menkul Kıymetler ve Sermaye Piyasası,Ekonomik Analiz,B,C,False,False,0
78,YGS Denemeleri,DİL VE ANLATIM,E,,False,False,0
79,TUS,,C,,False,False,0
80,İşletme Yönetimi,Tedarik Zinciri Yönetimi,C,,False,False,0
81,KPSS Denemeleri,TÜRKÇE DENEMELER,A,,False,False,0
82,KPSS Denemeleri,TARİH DENEMELER,D,,False,False,0
83,YGS Denemeleri,TÜRKÇE ÇIKMIŞ SORULAR,E,,False,False,0
84,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,E,,False,False,0
85,Dış Ticaret,Uluslararası Ticaret,C,B,False,False,0
86,Dış Ticaret,Dış Ticaretin Finansmanı ve Teşviki,E,,False,False,0
87,KPSS Denemeleri,VATANDAŞLIK DENEMELER,C,,False,False,0
88,Dış Ticaret,Sosyolojiye Giriş,D,,False,False,0
89,KPSS Denemeleri,TARİH KONU SINAVLARI,B,,False,False,0
90,KPSS,Tarih,A,,False,False,0
91,KPSS Denemeleri,TÜRKÇE DENEMELER,C,,False,False,0
92,YGS Denemeleri,EDEBİYAT ÇIKMIŞ SORULAR,C,,False,False,0
93,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,C,A,False,False,0
94,KPSS Denemeleri,TARİH DENEMELER,D,,False,False,0
95,YGS Denemeleri,EDEBİYAT KONU SORULARI,A,,False,False,0
96,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,E,,False,False,0
97,İşletme Yönetimi,Küçük İşletme Yönetimi,D,D,True,False,0
98,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,C,C,True,False,72
99,TUS,,D,,False,False,0
100,Dış Ticaret,Vergi Hukuku,B,,False,False,0
101,Laborant ve Veteriner Sağlık,Temel Veteriner Biyokimya,C,,False,False,0
102,YGS Denemeleri,EDEBİYAT KONU SORULARI,E,,False,False,0
103,KPSS Denemeleri,GENEL YETENEK DENEMELER,A,,False,False,0
104,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
105,Felsefe,Çağdaş Sosyoloji Kuramları,C,,False,False,0
106,KPSS Denemeleri,VATANDAŞLIK DENEMELER,A,,False,False,0
107,YGS Denemeleri,TARİH KONU SORULARI,E,C,False,False,0
108,TUS,,A,,False,False,0
109,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
110,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
111,İktisat,Makro İktisat,B,E,False,False,0
112,YGS Denemeleri,TÜRKÇE KONU SORULARI,E,C,False,True,0
113,YGS Denemeleri,COĞRAFYA KONU SORULARI,C,E,False,False,0
114,KPSS Denemeleri,GENEL YETENEK DENEMELER,C,,False,False,0
115,Felsefe,Klasik Sosyoloji Tarihi,D,,False,False,0
116,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,C,,False,False,0
117,KPSS Denemeleri,TÜRKÇE DENEMELER,B,C,False,False,0
118,YGS Denemeleri,EDEBİYAT KONU SORULARI,C,,False,False,0
119,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,E,,False,False,0
120,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,A,D,False,False,0
121,YGS Denemeleri,DİL VE ANLATIM,D,E,False,False,0
122,KPSS,Tarih,A,,False,False,0
123,İktisat,Uluslar Arası Ekonomik Kuruluşlar,C,,False,False,0
124,YGS Denemeleri,BİYOLOJİ KONU SORULARI,D,,False,False,0
125,YGS Denemeleri,TARİH KONU SORULARI,D,,False,False,0
126,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
127,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
128,TUS,,C,C,True,False,0
129,KPSS Denemeleri,TARİH DENEMELER,A,E,False,False,0
130,YGS Denemeleri,DİL VE ANLATIM,E,,False,False,0
131,Dış Ticaret,Pazarlama İlkeleri,B,,False,False,0
132,KPSS Denemeleri,TÜRKÇE DENEMELER,B,,False,False,0
133,TUS,,B,D,False,False,0
134,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
135,Dış Ticaret,Pazarlama İlkeleri,E,A,False,False,0
136,YGS Denemeleri,EDEBİYAT ÇIKMIŞ SORULAR,B,,False,False,0
137,TUS,,A,,False,False,0
138,KPSS Denemeleri,VATANDAŞLIK DENEMELER,C,,False,False,0
139,YGS Denemeleri,SOSYAL BİLİMLER ÇIKMIŞ SORULAR,E,,False,False,0
140,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
141,Dış Ticaret,Genel Matematik,E,,False,False,0
142,Dış Ticaret,Uluslararası Ticaret,E,,False,False,0
143,Felsefe,Felsefe,D,,False,False,0
144,Uluslar Arası İlişkiler,Dış Politika Analizi,A,E,False,False,0
145,Dış Ticaret,Gümrük Mevzuatı,A,,False,False,0
146,Yönetim Bİlişim Sistemleri,ISLETIM SISTEMLERI,C,,False,False,0
147,Felsefe,Dil Felsefesi,E,,False,False,0
148,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
149,Dış Ticaret,Dış Ticarette Girişimcilik,B,,False,False,0
150,Felsefe,Modern Felsefe II,A,E,False,False,0
151,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
152,KPSS Denemeleri,TARİH KONU SINAVLARI,C,,False,False,0
153,KPSS Denemeleri,MATEMATİK KONU SORULARI,B,E,False,False,0
154,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
155,KPSS,Tarih,C,,False,False,0
156,TUS,,C,,False,False,0
157,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,B,,False,False,0
158,KPSS,Tarih,C,E,False,False,0
159,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
160,YGS Denemeleri,TARİH KONU SORULARI,C,,False,False,0
161,YGS Denemeleri,DİL VE ANLATIM,C,E,False,False,0
162,KPSS Denemeleri,TARİH KONU SINAVLARI,B,,False,False,0
163,Dış Ticaret,Pazarlama İlkeleri,E,,False,False,0
164,YGS Denemeleri,DİL VE ANLATIM,C,E,False,False,0
165,KPSS Denemeleri,TARİH KONU SINAVLARI,A,D,False,False,0
166,YGS Denemeleri,COĞRAFYA KONU SORULARI,A,D,False,False,0
167,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
168,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
169,Dış Ticaret,Dış Ticaretin Finansmanı ve Teşviki,E,,False,False,0
170,YGS Denemeleri,FELSEFE KONU SORULARI,E,A,False,False,0
171,Felsefe,Sosyal Bilimlerde Temel Kavramlar,B,,False,False,0
172,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,C,A,False,False,0
173,Felsefe,Sosyal Bilimlerde Temel Kavramlar,A,,False,False,0
174,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
175,YGS Denemeleri,BİYOLOJİ KONU SORULARI,E,,False,False,0
176,YGS Denemeleri,TÜRKÇE ÇIKMIŞ SORULAR,D,,False,False,0
177,Dış Ticaret,Sosyolojiye Giriş,D,,False,False,0
178,KPSS Denemeleri,TÜRKÇE DENEMELER,C,,False,False,0
179,TUS,,E,,False,False,0
180,YGS Denemeleri,KİMYA KONU SORULARI,A,,False,False,0
181,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
182,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
183,KPSS Denemeleri,COĞRAFYA KONU SINAVLARI,C,,False,False,0
184,KPSS Denemeleri,TARİH DENEMELER,A,,False,False,0
185,TUS,,B,,False,False,0
186,KPSS Denemeleri,TARİH KONU SINAVLARI,D,C,False,False,0
187,YGS Denemeleri,COĞRAFYA KONU SORULARI,E,,False,False,0
188,Sosyoloji,Din ve Toplum,C,D,False,False,0
189,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
190,İktisat,Makro İktisat,E,,False,False,0
191,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
192,YGS Denemeleri,DİL VE ANLATIM,B,C,False,False,0
193,YGS Denemeleri,DİL VE ANLATIM,D,B,False,False,0
194,KPSS,Sayısal Mantık,E,E,True,False,0
195,YGS Denemeleri,COĞRAFYA KONU SORULARI,B,,False,False,0
196,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
197,TUS,,B,B,True,False,0
198,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,A,,False,False,0
199,Sosyoloji,Hukuk Sosyolojisi,E,,False,False,0
200,Dış Ticaret,Uluslararası Lojistik,E,,False,False,0
201,TUS,,C,,False,False,0
202,TUS,,C,,False,False,0
203,KPSS Denemeleri,COĞRAFYA KONU SINAVLARI,D,,False,False,0
204,YGS Denemeleri,TÜRKÇE ÇIKMIŞ SORULAR,A,,False,False,0
205,KPSS Denemeleri,TARİH KONU SINAVLARI,D,,False,False,0
206,Felsefe,Etik,C,,False,False,0
207,YGS Denemeleri,SOSYAL BİLİMLER ÇIKMIŞ SORULAR,C,,False,False,0
208,TUS,,D,C,False,False,0
209,KPSS Denemeleri,GENEL KÜLTÜR DENEME,E,,False,False,0
210,KPSS Denemeleri,TARİH DENEMELER,C,,False,False,0
211,YGS Denemeleri,TÜRKÇE KONU SORULARI,C,,False,False,0
212,KPSS Denemeleri,GENEL KÜLTÜR DENEME,A,C,False,False,0
213,Sosyoloji,Çevre Sosyolojisi,A,,False,False,0
214,YGS Denemeleri,BİYOLOJİ KONU SORULARI,C,E,False,False,0
215,YGS Denemeleri,DİL VE ANLATIM,D,E,False,False,0
216,YGS Denemeleri,EDEBİYAT KONU SORULARI,B,E,False,True,0
217,Dış Ticaret,Dış Ticaretle İlgili Kurumlar ve Kuruluşlar,E,,False,False,0
218,KPSS Denemeleri,EĞİTİM BİLİMLERİ,B,,False,False,0
219,YGS Denemeleri,EDEBİYAT KONU SORULARI,A,,False,False,0
220,KPSS Denemeleri,GENEL KÜLTÜR DENEME,D,,False,False,0
221,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
222,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,A,,False,False,0
223,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
224,KPSS,Tarih,E,,False,False,0
225,TUS,,A,,False,False,0
226,KPSS Denemeleri,EĞİTİM BİLİMLERİ,B,,False,False,0
227,KPSS Denemeleri,COĞRAFYA DENEME,A,,False,False,0
228,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,A,,False,False,0
229,YGS Denemeleri,EDEBİYAT KONU SORULARI,B,,False,False,0
230,YGS Denemeleri,TÜRKÇE KONU SORULARI,D,,False,False,0
231,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,A,C,False,False,0
232,Felsefe,Etik,D,,False,False,0
233,YGS Denemeleri,TÜRKÇE KONU SORULARI,D,D,True,False,0
234,YGS Denemeleri,BİYOLOJİ KONU SORULARI,B,,False,False,0
235,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,E,,False,False,0
236,İktisat,İktisat Tarihi,E,,False,False,0
237,YGS Denemeleri,TARİH KONU SORULARI,A,,False,False,0
238,Dış Ticaret,Sosyolojiye Giriş,A,,False,False,0
239,YGS Denemeleri,TÜRKÇE ÇIKMIŞ SORULAR,A,,False,False,0
240,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,A,,False,False,0
241,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,B,,False,False,0
242,YGS Denemeleri,BİYOLOJİ KONU SORULARI,B,,False,False,0
243,KPSS Denemeleri,TÜRKÇE DENEMELER,A,C,False,False,0
244,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,E,C,False,False,0
245,TUS,,C,,False,False,0
246,KPSS Denemeleri,GENEL YETENEK DENEMELER,E,,False,False,0
247,Menkul Kıymetler ve Sermaye Piyasası,Ekonomik Analiz,D,,False,False,0
248,İktisat,Makro İktisat,B,,False,False,0
249,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
250,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
251,YGS Denemeleri,EDEBİYAT ÇIKMIŞ SORULAR,D,E,False,False,0
252,YGS Denemeleri,EDEBİYAT KONU SORULARI,D,,False,False,0
253,YGS Denemeleri,COĞRAFYA KONU SORULARI,B,,False,False,0
254,YGS Denemeleri,EDEBİYAT KONU SORULARI,E,E,True,False,0
255,KPSS Denemeleri,VATANDAŞLIK DENEMELER,B,,False,False,0
256,YGS Denemeleri,COĞRAFYA KONU SORULARI,B,,False,False,0
257,YGS Denemeleri,COĞRAFYA KONU SORULARI,C,,False,False,0
258,KPSS,Tarih,E,,False,False,0
259,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,E,,False,False,0
260,YGS Denemeleri,BİYOLOJİ KONU SORULARI,A,,False,False,0
261,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,B,,False,False,0
262,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,E,,False,False,0
263,YGS Denemeleri,EDEBİYAT ÇIKMIŞ SORULAR,D,,False,False,0
264,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
265,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
266,YGS Denemeleri,FİZİK KONU SORULARI,D,,False,False,0
267,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,B,,False,False,0
268,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,D,,False,False,0
269,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,D,,False,False,0
270,KPSS Denemeleri,GENEL KÜLTÜR DENEME,E,,False,False,0
271,YGS Denemeleri,COĞRAFYA KONU SORULARI,C,,False,False,0
272,Dış Ticaret,Dış Ticaretin Finansmanı ve Teşviki,D,,False,False,0
273,KPSS Denemeleri,GENEL YETENEK DENEMELER,E,,False,False,0
274,YGS Denemeleri,DİL VE ANLATIM,B,,False,False,0
275,YGS Denemeleri,TÜRKÇE KONU SORULARI,D,C,False,False,0
276,KPSS Denemeleri,GENEL KÜLTÜR DENEME,D,,False,False,0
277,Dış Ticaret,Uluslararası Ticaret,D,,False,False,0
278,KPSS Denemeleri,TARİH DENEMELER,D,,False,False,0
279,Yönetim Bİlişim Sistemleri,BILGI TOPLUMU VE E-DEVLET,B,,False,False,0
280,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
281,YGS Denemeleri,FELSEFE DENEMELER,C,,False,False,0
282,TUS,,C,,False,False,0
283,Dış Ticaret,Uluslararası Ticaret,A,,False,False,0
284,TUS,,D,,False,False,0
285,Sosyoloji,Toplumsal Değişme Kuramları,D,,False,False,0
286,KPSS Denemeleri,TÜRKÇE DENEMELER,A,,False,False,0
287,TUS,,D,,False,False,0
288,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
289,İktisat,Makro İktisat,C,D,False,True,0
290,Dış Ticaret,Genel Matematik,B,,False,False,0
291,KPSS Denemeleri,TARİH DENEMELER,E,,False,False,0
292,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
293,KPSS Denemeleri,TARİH DENEMELER,B,,False,False,0
294,KPSS Denemeleri,GENEL YETENEK DENEMELER,A,,False,False,0
295,KPSS Denemeleri,COĞRAFYA KONU SINAVLARI,C,,False,False,0
296,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
297,Uluslar Arası İlişkiler,Dış Politika Analizi,A,,False,False,0
298,YGS Denemeleri,TARİH KONU SORULARI,B,,False,False,0
299,Dış Ticaret,Genel Matematik,D,,False,False,0
300,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,A,A,True,False,0
301,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
302,Dış Ticaret,Sosyolojiye Giriş,E,,False,False,0
303,İktisat,Avrupa Birliği,E,,False,False,0
304,KPSS,Türkçe,A,,False,False,0
305,KPSS Denemeleri,TÜRKÇE DENEMELER,E,A,False,False,0
306,KPSS Denemeleri,TARİH DENEMELER,D,C,False,False,0
307,KPSS Denemeleri,TARİH KONU SINAVLARI,A,,False,False,0
308,KPSS Denemeleri,GENEL KÜLTÜR DENEME,D,,False,False,0
309,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,D,,False,False,0
310,YGS Denemeleri,FELSEFE KONU SORULARI,B,,False,False,0
311,KPSS Denemeleri,GENEL KÜLTÜR DENEME,D,C,False,False,0
312,Felsefe,Estetik ve Sanat Felsefesi,E,A,False,False,0
313,YGS Denemeleri,TARİH ÇÖZÜMLÜ DENEMELER,D,,False,False,0
314,YGS Denemeleri,TÜRKÇE KONU SORULARI,B,A,False,False,0
315,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
316,TUS,Kadın Doğum,C,,False,False,0
317,YGS Denemeleri,DİL VE ANLATIM,E,,False,False,0
318,İktisat,Makro İktisat,B,,False,False,0
319,KPSS Denemeleri,TARİH DENEMELER,C,,False,False,0
320,İşletme Yönetimi,Tedarik Zinciri Yönetimi,A,E,False,False,0
321,KPSS Denemeleri,TARİH KONU SINAVLARI,C,,False,False,0
322,TUS,,D,,False,False,0
323,KPSS Denemeleri,GENEL KÜLTÜR DENEME,B,,False,False,0
324,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
325,TUS,,B,D,False,False,0
326,Sosyoloji,Yeni Toplumsal Hareketler,E,,False,False,0
327,TUS,,A,,False,False,0
328,YGS Denemeleri,DİL VE ANLATIM,C,E,False,False,0
329,İşletme Yönetimi,Proje Analizi ve Değerlendirme,E,,False,False,0
330,KPSS Denemeleri,TÜRKÇE DENEMELER,B,,False,False,0
331,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,B,A,False,False,0
332,YGS Denemeleri,TARİH KONU SORULARI,A,,False,False,0
333,YGS Denemeleri,FİZİK KONU SORULARI,C,E,False,False,0
334,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
335,YGS Denemeleri,TÜRKÇE KONU SORULARI,D,,False,False,0
336,Muhasebe ve Vergi Uygulamaları,Maliyet Analizleri,C,,False,False,0
337,KPSS Denemeleri,TARİH KONU SINAVLARI,A,,False,False,0
338,YGS Denemeleri,TARİH KONU SORULARI,C,,False,False,0
339,YGS Denemeleri,DİL VE ANLATIM,E,D,False,False,0
340,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,A,,False,False,0
341,Dış Ticaret,Dış Ticaretle İlgili Kurumlar ve Kuruluşlar,D,,False,False,0
342,YGS Denemeleri,DİL VE ANLATIM,B,C,False,False,0
343,YGS Denemeleri,TÜRKÇE KONU SORULARI,C,,False,False,0
344,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,B,,False,False,0
345,YGS Denemeleri,FELSEFE KONU SORULARI,D,,False,False,0
346,TUS,,C,,False,False,0
347,YGS Denemeleri,EDEBİYAT KONU SORULARI,E,,False,False,0
348,Yönetim Bİlişim Sistemleri,Finansal Yönetim,D,,False,False,0
349,Yönetim Bİlişim Sistemleri,ISLETME BILGI SISTEMLERI,D,,False,False,0
350,KPSS Denemeleri,TARİH DENEMELER,C,,False,False,0
351,KPSS Denemeleri,GENEL YETENEK DENEMELER,E,E,True,False,0
352,KPSS Denemeleri,MATEMATİK KONU SORULARI,C,,False,False,0
353,YGS Denemeleri,DİL VE ANLATIM,A,E,False,False,0
354,Felsefe,Çağdaş Sosyoloji Kuramları,A,,False,False,0
355,KPSS Denemeleri,GENEL YETENEK DENEMELER,C,,False,False,0
356,KPSS Denemeleri,TÜRKÇE DENEMELER,B,A,False,False,0
357,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,E,B,False,False,0
358,YGS Denemeleri,BİYOLOJİ KONU SORULARI,D,,False,False,0
359,KPSS Denemeleri,GENEL YETENEK DENEMELER,A,A,True,False,0
360,YGS Denemeleri,TÜRKÇE DENEMELER,E,A,False,False,0
361,YGS Denemeleri,DİL VE ANLATIM,E,A,False,False,0
362,KPSS Denemeleri,TÜRKÇE DENEMELER,D,,False,False,0
363,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,A,,False,False,0
364,YGS Denemeleri,KİMYA KONU SORULARI,E,,False,False,0
365,İşletme Yönetimi,Borçlar Hukuku,C,,False,False,0
366,KPSS Denemeleri,COĞRAFYA KONU SINAVLARI,A,,False,False,0
367,Dış Ticaret,Pazarlama İlkeleri,A,,False,False,0
368,İşletme Yönetimi,Tedarik Zinciri Yönetimi,E,,False,False,0
369,Menkul Kıymetler ve Sermaye Piyasası,Ekonomik Analiz,E,,False,False,0
370,Sosyoloji,Sosyolojide Araştırma Yöntem ve Teknikleri,C,,False,False,0
371,TUS,,D,,False,False,0
372,Dış Ticaret,Pazarlama İlkeleri,E,D,False,False,0
373,YGS Denemeleri,DİL VE ANLATIM,A,,False,False,0
374,YGS Denemeleri,TÜRKÇE KONU SORULARI,C,A,False,False,0
375,YGS Denemeleri,DİL VE ANLATIM,C,,False,False,0
376,YGS Denemeleri,TARİH KONU SORULARI,E,,False,False,0
377,TUS,,E,,False,False,0
378,YGS Denemeleri,FİZİK KONU SORULARI,D,E,False,False,0
379,YGS Denemeleri,TARİH KONU SORULARI,C,,False,False,0
380,Dış Ticaret,Dış Ticaret Belgeleri,A,,False,False,0
381,TUS,,B,C,False,False,0
382,KPSS Denemeleri,GENEL YETENEK DENEMELER,B,C,False,True,0
383,YGS Denemeleri,DİL VE ANLATIM,D,,False,False,0
384,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,C,,False,False,0
385,KPSS Denemeleri,COĞRAFYA KONU SINAVLARI,C,,False,False,0
386,KPSS Denemeleri,TARİH KONU SINAVLARI,C,,False,False,0
387,Sosyoloji,Çevre Sosyolojisi,D,,False,False,0
388,KPSS Denemeleri,TARİH DENEMELER,D,,False,False,0
389,Yönetim Bİlişim Sistemleri,URETIM YONETIMI,E,,False,False,0
390,YGS Denemeleri,EDEBİYAT DENEME SINAVLARI,D,,False,False,0
391,TUS,,B,A,False,False,0
392,KPSS Denemeleri,VATANDAŞLIK KONU SINAVLARI,D,,False,False,0
393,TUS,,A,,False,False,0
394,Dış Ticaret,Sosyolojiye Giriş,C,,False,False,0
395,KPSS,Tarih,E,,False,False,0
396,YGS Denemeleri,FELSEFE KONU SORULARI,D,B,False,False,0
397,YGS Denemeleri,BİYOLOJİ KONU SORULARI,E,B,False,False,0
398,Yönetim Bİlişim Sistemleri,BILGI TOPLUMU VE E-DEVLET,C,A,False,True,0
